Designator,Mid X,Mid Y,Layer,Rotation
SW1,60.5976,-58.38,top,-90
C1,86.36,-71.628,top,180
C2,76.4032,-60.0456,top,180
C3,86.36,-68.834,top,180
C4,91.5416,-58.6232,top,0
C5,76.4032,-62.3316,top,180
C6,76.4032,-65.024,top,0
C7,81.6864,-57.3024,top,0
C8,76.4032,-57.4548,top,0
C9,76.4032,-67.31,top,180
C10,75.438,-70.866,top,-90
C11,82.042,-82.0928,top,-90
C14,90.678,-84.328,top,0
C15,86.614,-84.328,top,180
D1,90.932,-69.088,top,0
D2,94.234,-79.248,top,90
FB1,78.0796,-70.9676,top,-90
J1,105.9688,-61.214,top,90
R1,81.9912,-54.7624,top,0
R2,90.3224,-54.7116,top,0
R3,94.234,-83.566,top,-90
R4,86.2076,-54.7624,top,0
R5,90.932,-71.628,top,0
R6,79.1972,-82.042,top,-90
SW1,60.104,-58.0212,top,-90
U1,84.3,-63.1,top,0
U3,87.884,-78.232,top,90
Y1,69.596,-62.738,top,180
